Running imagenet_impl.py
********HW03 06: ImageNet Classification********
Begin our training!!!!!!!!!!!!!!
cuda available: True
Using device: cuda:7
Loading dataset!!!!!!!!
Original dataset size:
Training samples: 1281167
Validation samples: 50000
Number of classes: 1000
Selected dataset size:
Training samples: 6405
Validation samples: 100
Applying dataset transforms!!!!!!!!
Creating data loaders!!!!!!!!
Initializing ImageNetCNN!!!!!!!!
Trainable parameters: 5464040
Setting optimizer!!!!!!!!
Initializing trainer!!!!!!!!
Start training!!!!!!!!
Epoch 25, Batch 30/51, Loss: 5.2519, Training Accuracy: 0.0781
Epoch 25, Batch 40/51, Loss: 5.2606, Training Accuracy: 0.0781
Epoch 25, Batch 50/51, Loss: 5.6386, Training Accuracy: 0.2000
Epoch 25/1000, Train Loss: 5.3504, Train Accuracy: 0.0448, Validation Accuracy: 0.0100
Epoch 26, Batch 0/51, Loss: 5.3473, Training Accuracy: 0.0625
Epoch 26, Batch 10/51, Loss: 5.3871, Training Accuracy: 0.0391
Epoch 26, Batch 20/51, Loss: 5.2431, Training Accuracy: 0.0234
Epoch 26, Batch 30/51, Loss: 5.2034, Training Accuracy: 0.0625
Epoch 26, Batch 40/51, Loss: 5.2635, Training Accuracy: 0.0859
Epoch 26, Batch 50/51, Loss: 6.2405, Training Accuracy: 0.0000
Epoch 26/1000, Train Loss: 5.3339, Train Accuracy: 0.0492, Validation Accuracy: 0.0000
Epoch 27, Batch 0/51, Loss: 5.1519, Training Accuracy: 0.0781
Epoch 27, Batch 10/51, Loss: 5.3734, Training Accuracy: 0.0469
Epoch 27, Batch 20/51, Loss: 5.4137, Training Accuracy: 0.0469
Epoch 27, Batch 30/51, Loss: 5.4444, Training Accuracy: 0.0312
Epoch 27, Batch 40/51, Loss: 5.2352, Training Accuracy: 0.0703
Epoch 27, Batch 50/51, Loss: 5.7083, Training Accuracy: 0.0000
Epoch 27/1000, Train Loss: 5.2909, Train Accuracy: 0.0486, Validation Accuracy: 0.0000
Epoch 28, Batch 0/51, Loss: 5.0960, Training Accuracy: 0.0781
Epoch 28, Batch 10/51, Loss: 4.8978, Training Accuracy: 0.0625
Epoch 28, Batch 20/51, Loss: 5.3420, Training Accuracy: 0.0312
Epoch 28, Batch 30/51, Loss: 5.1920, Training Accuracy: 0.0547
Epoch 28, Batch 40/51, Loss: 5.4020, Training Accuracy: 0.0391
Epoch 28, Batch 50/51, Loss: 5.6766, Training Accuracy: 0.0000
Epoch 28/1000, Train Loss: 5.2445, Train Accuracy: 0.0503, Validation Accuracy: 0.0000
Epoch 29, Batch 0/51, Loss: 5.1340, Training Accuracy: 0.0547
Epoch 29, Batch 10/51, Loss: 5.3691, Training Accuracy: 0.0312
Epoch 29, Batch 20/51, Loss: 5.2459, Training Accuracy: 0.0156
Epoch 29, Batch 30/51, Loss: 5.2803, Training Accuracy: 0.0391
Epoch 29, Batch 40/51, Loss: 5.2027, Training Accuracy: 0.0547
Epoch 29, Batch 50/51, Loss: 6.4160, Training Accuracy: 0.0000
Epoch 29/1000, Train Loss: 5.2002, Train Accuracy: 0.0489, Validation Accuracy: 0.0100
Epoch 30, Batch 0/51, Loss: 5.0193, Training Accuracy: 0.0703
Epoch 30, Batch 10/51, Loss: 5.2043, Training Accuracy: 0.0156
